  itime          time                   Ek                   Em          enstrophykm          dissipation                 Jmax
   1575  0.157500E+00  0.1973309676191E+01  0.1981885449013E+01  0.5115849245972E+01  0.7910390250409E-01  0.6846806361332E+01
   1576  0.157600E+00  0.1973279597945E+01  0.1981885882950E+01  0.5116151774813E+01  0.7910330961789E-01  0.6847862440140E+01
   1577  0.157700E+00  0.1973249496491E+01  0.1981886337503E+01  0.5116454744826E+01  0.7910271667987E-01  0.6848919071700E+01
   1578  0.157800E+00  0.1973219371815E+01  0.1981886812685E+01  0.5116758156347E+01  0.7910212369000E-01  0.6849976255739E+01
   1579  0.157900E+00  0.1973189223904E+01  0.1981887308507E+01  0.5117062009712E+01  0.7910153064822E-01  0.6851033991988E+01
   1580  0.158000E+00  0.1973159052746E+01  0.1981887824979E+01  0.5117366305258E+01  0.7910093755449E-01  0.6852092280172E+01
   1581  0.158100E+00  0.1973128858325E+01  0.1981888362112E+01  0.5117671043321E+01  0.7910034440876E-01  0.6853151120022E+01
   1582  0.158200E+00  0.1973098640630E+01  0.1981888919919E+01  0.5117976224238E+01  0.7909975121098E-01  0.6854210511265E+01
   1583  0.158300E+00  0.1973068399647E+01  0.1981889498409E+01  0.5118281848344E+01  0.7909915796110E-01  0.6855270453628E+01
   1584  0.158400E+00  0.1973038135361E+01  0.1981890097593E+01  0.5118587915977E+01  0.7909856465909E-01  0.6856330946839E+01
   1585  0.158500E+00  0.1973007847761E+01  0.1981890717484E+01  0.5118894427472E+01  0.7909797130489E-01  0.6857391990626E+01
   1586  0.158600E+00  0.1972977536832E+01  0.1981891358091E+01  0.5119201383168E+01  0.7909737789846E-01  0.6858453584715E+01
   1587  0.158700E+00  0.1972947202562E+01  0.1981892019426E+01  0.5119508783399E+01  0.7909678443974E-01  0.6859515728834E+01
   1588  0.158800E+00  0.1972916844936E+01  0.1981892701499E+01  0.5119816628504E+01  0.7909619092870E-01  0.6860578422708E+01
   1589  0.158900E+00  0.1972886463941E+01  0.1981893404323E+01  0.5120124918818E+01  0.7909559736528E-01  0.6861641666065E+01
   1590  0.159000E+00  0.1972856059565E+01  0.1981894127907E+01  0.5120433654679E+01  0.7909500374944E-01  0.6862705458632E+01
   1591  0.159100E+00  0.1972825631793E+01  0.1981894872264E+01  0.5120742836423E+01  0.7909441008113E-01  0.6863769800133E+01
   1592  0.159200E+00  0.1972795180613E+01  0.1981895637403E+01  0.5121052464388E+01  0.7909381636031E-01  0.6864834690296E+01
   1593  0.159300E+00  0.1972764706010E+01  0.1981896423336E+01  0.5121362538911E+01  0.7909322258692E-01  0.6865900128845E+01
   1594  0.159400E+00  0.1972734207972E+01  0.1981897230074E+01  0.5121673060328E+01  0.7909262876092E-01  0.6866966115507E+01
   1595  0.159500E+00  0.1972703686486E+01  0.1981898057627E+01  0.5121984028977E+01  0.7909203488226E-01  0.6868032650006E+01
   1596  0.159600E+00  0.1972673141537E+01  0.1981898906008E+01  0.5122295445194E+01  0.7909144095089E-01  0.6869099732069E+01
   1597  0.159700E+00  0.1972642573112E+01  0.1981899775226E+01  0.5122607309318E+01  0.7909084696678E-01  0.6870167361419E+01
   1598  0.159800E+00  0.1972611981199E+01  0.1981900665294E+01  0.5122919621686E+01  0.7909025292986E-01  0.6871235537782E+01
   1599  0.159900E+00  0.1972581365784E+01  0.1981901576221E+01  0.5123232382634E+01  0.7908965884010E-01  0.6872304260882E+01
   1600  0.160000E+00  0.1972550726853E+01  0.1981902508019E+01  0.5123545592500E+01  0.7908906469744E-01  0.6873373530444E+01
   1601  0.160100E+00  0.1972520064393E+01  0.1981903460699E+01  0.5123859251622E+01  0.7908847050185E-01  0.6874443346192E+01
   1602  0.160200E+00  0.1972489378391E+01  0.1981904434272E+01  0.5124173360337E+01  0.7908787625326E-01  0.6875513707849E+01
   1603  0.160300E+00  0.1972458668833E+01  0.1981905428749E+01  0.5124487918983E+01  0.7908728195164E-01  0.6876584615140E+01
   1604  0.160400E+00  0.1972427935706E+01  0.1981906444141E+01  0.5124802927897E+01  0.7908668759693E-01  0.6877656067789E+01
   1605  0.160500E+00  0.1972397178997E+01  0.1981907480458E+01  0.5125118387417E+01  0.7908609318910E-01  0.6878728065517E+01
   1606  0.160600E+00  0.1972366398692E+01  0.1981908537712E+01  0.5125434297881E+01  0.7908549872809E-01  0.6879800608050E+01
   1607  0.160700E+00  0.1972335594778E+01  0.1981909615914E+01  0.5125750659627E+01  0.7908490421385E-01  0.6880873695110E+01
   1608  0.160800E+00  0.1972304767242E+01  0.1981910715075E+01  0.5126067472991E+01  0.7908430964634E-01  0.6881947326419E+01
   1609  0.160900E+00  0.1972273916070E+01  0.1981911835205E+01  0.5126384738313E+01  0.7908371502551E-01  0.6883021501700E+01
   1610  0.161000E+00  0.1972243041249E+01  0.1981912976316E+01  0.5126702455930E+01  0.7908312035131E-01  0.6884096220677E+01
   1611  0.161100E+00  0.1972212142766E+01  0.1981914138419E+01  0.5127020626180E+01  0.7908252562370E-01  0.6885171483070E+01
   1612  0.161200E+00  0.1972181220607E+01  0.1981915321525E+01  0.5127339249402E+01  0.7908193084263E-01  0.6886247288602E+01
   1613  0.161300E+00  0.1972150274759E+01  0.1981916525643E+01  0.5127658325932E+01  0.7908133600804E-01  0.6887323636994E+01
   1614  0.161400E+00  0.1972119305208E+01  0.1981917750787E+01  0.5127977856110E+01  0.7908074111990E-01  0.6888400527969E+01
   1615  0.161500E+00  0.1972088311942E+01  0.1981918996966E+01  0.5128297840273E+01  0.7908014617816E-01  0.6889477961248E+01
   1616  0.161600E+00  0.1972057294947E+01  0.1981920264191E+01  0.5128618278760E+01  0.7907955118276E-01  0.6890555936553E+01
   1617  0.161700E+00  0.1972026254209E+01  0.1981921552474E+01  0.5128939171909E+01  0.7907895613366E-01  0.6891634453603E+01
   1618  0.161800E+00  0.1971995189716E+01  0.1981922861825E+01  0.5129260520058E+01  0.7907836103081E-01  0.6892713512120E+01
   1619  0.161900E+00  0.1971964101453E+01  0.1981924192255E+01  0.5129582323547E+01  0.7907776587417E-01  0.6893793111825E+01
   1620  0.162000E+00  0.1971932989409E+01  0.1981925543776E+01  0.5129904582712E+01  0.7907717066369E-01  0.6894873252438E+01
   1621  0.162100E+00  0.1971901853568E+01  0.1981926916398E+01  0.5130227297893E+01  0.7907657539932E-01  0.6895953933679E+01
   1622  0.162200E+00  0.1971870693919E+01  0.1981928310132E+01  0.5130550469428E+01  0.7907598008100E-01  0.6897035155269E+01
   1623  0.162300E+00  0.1971839510447E+01  0.1981929724988E+01  0.5130874097656E+01  0.7907538470871E-01  0.6898116916927E+01
   1624  0.162400E+00  0.1971808303140E+01  0.1981931160979E+01  0.5131198182916E+01  0.7907478928238E-01  0.6899199218373E+01
